# norm1   norm2  g21_pred   casA_pred   g21_diff   casA_diff   g21_chisq   casA_chisq
0.03 0.24 0.457245 0.019111 -0.1548 -0.3875 7.2768 0.0037
0.03 0.25 0.451273 0.018862 -0.1659 -0.3954 8.3517 0.0038
0.03 0.26 0.4453 0.018613 -0.1769 -0.4034 9.5006 0.004
0.03 0.27 0.439327 0.018365 -0.1879 -0.4114 10.7235 0.0041
0.03 0.28 0.433354 0.018116 -0.199 -0.4194 12.0204 0.0043
0.03 0.29 0.427381 0.017867 -0.21 -0.4273 13.3914 0.0044
0.03 0.3 0.421408 0.017619 -0.2211 -0.4353 14.8363 0.0046
0.03 0.31 0.415435 0.01737 -0.2321 -0.4433 16.3553 0.0048
0.03 0.32 0.409462 0.017121 -0.2431 -0.4512 17.9483 0.005
0.03 0.33 0.40349 0.016872 -0.2542 -0.4592 19.6153 0.0051
0.03 0.34 0.397517 0.016624 -0.2652 -0.4672 21.3563 0.0053
0.03 0.35 0.391544 0.016375 -0.2763 -0.4752 23.1713 0.0055
0.03 0.36 0.385571 0.016126 -0.2873 -0.4831 25.0604 0.0057
0.03 0.37 0.379598 0.015877 -0.2983 -0.4911 27.0234 0.0059
0.03 0.38 0.373625 0.015629 -0.3094 -0.4991 29.0605 0.0061
0.03 0.39 0.367652 0.01538 -0.3204 -0.5071 31.1716 0.0063
0.03 0.4 0.361679 0.015131 -0.3315 -0.515 33.3567 0.0065
0.03 0.41 0.355707 0.014882 -0.3425 -0.523 35.6158 0.0067
0.03 0.42 0.349734 0.014634 -0.3535 -0.531 37.949 0.0069
0.03 0.43 0.343761 0.014385 -0.3646 -0.5389 40.3561 0.0071
0.03 0.44 0.337788 0.014136 -0.3756 -0.5469 42.8373 0.0073
0.03 0.45 0.331815 0.013887 -0.3867 -0.5549 45.3925 0.0075
0.03 0.46 0.325842 0.013639 -0.3977 -0.5629 48.0217 0.0077
